,X,Y,FID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
1475,-9074035.8875,5026649.4016,1478,122544310,CRYSTAL CLINIC ORTHOPAEDIC CENTER,444 NORTH MAIN STREET,AKRON,OH,44310,NOT AVAILABLE,(330) 762-2262,SPECIAL,OPEN,94,SUMMIT,39153,USA,41.096930372,-81.513451264,622310,ORTHOPEDIC HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.crystalclinic.com/locations/akron,1484,NOT AVAILABLE,39,PROPRIETARY,-999,94,NOT AVAILABLE,N
1476,-9237238.3627,4859044.1584,1479,124143205,NATIONWIDE CHILDREN'S HOSPITAL,700 CHILDREN'S DRIVE,COLUMBUS,OH,43205,NOT AVAILABLE,(614) 355-0802,CHILDREN,OPEN,468,FRANKLIN,39049,USA,39.95251412,-82.979524043,622310,"CHILDREN'S HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.nationwidechildrens.org/,1169,NOT AVAILABLE,39,NON-PROFIT,-999,468,LEVEL I PEDIATRIC,Y
1477,-9241776.6046,4857325.6021,1480,124343223,OHIO HOSPITAL FOR PSYCHIATRY,880 GREENLAWN AVENUE,COLUMBUS,OH,43223,NOT AVAILABLE,(614) 449-9664,PSYCHIATRIC,OPEN,90,FRANKLIN,39049,USA,39.940678641,-83.020291763,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.ohiohospitalforpsychiatry.com/,1459,NOT AVAILABLE,39,PROPRIETARY,-999,90,NOT AVAILABLE,N
1479,-9368005.8249,4827654.1114,1482,125345420,"ACCESS HOSPITAL DAYTON, LLC",2611 WAYNE AVENUE,DAYTON,OH,45420,NOT AVAILABLE,(937) 256-7801,PSYCHIATRIC,OPEN,110,MONTGOMERY,39113,USA,39.736012126,-84.154228142,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://www.accesshospital.com/,1499,NOT AVAILABLE,39,PROPRIETARY,-999,110,NOT AVAILABLE,N
1481,-9406638.7894,4741353.1355,1484,127045229,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,3229 BURNETT AVENUE,CINCINNATI,OH,45229,NOT AVAILABLE,(513) 872-6317,CHILDREN,OPEN,30,HAMILTON,39061,USA,39.1372678810001,-84.501273967,622310,"CHILDREN'S HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://shrinershospitalcincinnati.org/,1808,NOT AVAILABLE,39,NON-PROFIT,-999,30,NOT AVAILABLE,Y
1482,-9316244.2125,5099723.7993,1485,126543537,ARROWHEAD BEHAVIORAL HEALTH,1725 TIMBER LINE ROAD,MAUMEE,OH,43537,NOT AVAILABLE,(419) 891-9333,PSYCHIATRIC,OPEN,48,LUCAS,39095,USA,41.5897572970001,-83.689245667,622210,"HOSPITALS, SUBSTANCE ABUSE",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://www.arrowheadbehavioral.com/,NOT AVAILABLE,NOT AVAILABLE,39,NOT AVAILABLE,-999,48,NOT AVAILABLE,N
1483,-9084317.6318,5087497.5592,1486,124744106,RAINBOW BABIES AND CHILDRENS HOSPITAL,11100 EUCLID AVENUE,CLEVELAND,OH,44106,NOT AVAILABLE,(216) 844-1000,CHILDREN,OPEN,-999,CUYAHOGA,39035,USA,41.507561206,-81.605813744,622310,"CHILDREN'S HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://www.uhhospitals.org/rainbow,NOT AVAILABLE,NOT AVAILABLE,39,NON-PROFIT,-999,237,LEVEL I PEDIATRIC,Y
1488,-9226364.5965,4869887.3663,1491,129043230,"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,NOT AVAILABLE,(614) 471-2552,SPECIAL,OPEN,50,FRANKLIN,39049,USA,40.0271426950001,-82.8818433389999,622210,"HOSPITALS, SUBSTANCE ABUSE",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/12 00:00:00,http://www.thewoodsatparkside.com/,1815,NOT AVAILABLE,39,PROPRIETARY,-999,50,NOT AVAILABLE,N
1489,-9369541.9439,4833189.8421,1492,130045404,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,NOT AVAILABLE,(937) 641-3300,CHILDREN,OPEN,155,MONTGOMERY,39113,USA,39.774242487,-84.168027334,622310,"CHILDREN'S HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/12 00:00:00,http://www.childrensdayton.org/cms/home/index.html,1411,NOT AVAILABLE,39,NON-PROFIT,-999,155,LEVEL II PEDIATRIC,Y
1918,-9304594.7726,4712239.1477,1921,6645679,ADAMS COUNTY REGIONAL MEDICAL CENTER,230 MEDICAL CENTER DRIVE,SEAMAN,OH,45679,NOT AVAILABLE,(937) 386-3400,CRITICAL ACCESS,OPEN,25,ADAMS,39001,USA,38.93411952,-83.584596968,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/03 00:00:00,http://www.acrmc.com,1100,NOT AVAILABLE,39,GOVERNMENT - LOCAL,-999,25,NOT AVAILABLE,Y
1937,-9363971.6043,4974223.9077,1940,123645801,KINDRED HOSPITAL LIMA,730 W MARKET ST,LIMA,OH,45801,NOT AVAILABLE,(419) 224-1888,LONG TERM CARE,OPEN,26,ALLEN,39003,USA,40.741067732,-84.117988122,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.khlima.com/,1425,NOT AVAILABLE,39,PROPRIETARY,-999,26,NOT AVAILABLE,Y
1973,-9364022.5384,4974204.0957,1976,14645801,ST RITA'S MEDICAL CENTER,730 WEST MARKET STREET,LIMA,OH,45801,NOT AVAILABLE,(419) 226-4584,GENERAL ACUTE CARE,OPEN,424,ALLEN,39003,USA,40.740932887,-84.118445671,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.ehealthconnection.com/regions/mercy_st_ritas/,1103,NOT AVAILABLE,39,NON-PROFIT,-999,424,LEVEL II,Y
1986,-9392104.8721,4945364.0575,1989,5445885,JOINT TOWNSHIP DISTRICT MEMORIAL HOSPITAL,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,NOT AVAILABLE,(419) 394-3335,GENERAL ACUTE CARE,OPEN,140,AUGLAIZE,39011,USA,40.544350846,-84.3707135669999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.grandlakehealth.org,1111,GRAND LAKE HEALTH SYSTEM,39,NON-PROFIT,-999,140,NOT AVAILABLE,Y
1989,-9330573.9126,4855940.7488,1992,123845504,MENTAL HEALTH SERVICES FOR CLARK AND MADISON COS,474 NORTH YELLOW SPRINGS STREET,SPRINGFIELD,OH,45504,NOT AVAILABLE,(937) 399-9500,PSYCHIATRIC,OPEN,16,CLARK,39023,USA,39.9311398420001,-83.8179715529999,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.mhscc.com/,1464,NOT AVAILABLE,39,NON-PROFIT,-999,16,NOT AVAILABLE,N
1990,-9366926.0309,4733209.0602,1993,8545103,MERCY HOSPITAL CLERMONT,3000 HOSPITAL DRIVE,BATAVIA,OH,45103,NOT AVAILABLE,(513) 732-8200,GENERAL ACUTE CARE,OPEN,148,CLERMONT,39025,USA,39.0804998950001,-84.144528188,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.e-mercy.com/clermont-hospital.aspx,1028,NOT AVAILABLE,39,NON-PROFIT,-999,148,NOT AVAILABLE,Y
1993,-8998225.9947,4997675.31,1996,125244460,SALEM REGIONAL MEDICAL CENTER,1995 EAST STATE STREET,SALEM,OH,44460,NOT AVAILABLE,(330) 332-7214,GENERAL ACUTE CARE,OPEN,199,COLUMBIANA,39029,USA,40.9004919490001,-80.8324394099999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://www.salemregional.com/,1125,SALEM COMMUNITY HOSPITAL,39,NOT AVAILABLE,-999,199,NOT AVAILABLE,Y
1996,-9076739.3061,5078633.5563,1999,5744122,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HEIGHTS,OH,44122,NOT AVAILABLE,(216) 491-6000,GENERAL ACUTE CARE,OPEN,344,CUYAHOGA,39035,USA,41.447903845,-81.537736486,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://my.clevelandclinic.org/locations_directions/regional-locations/southpointe-hospital,1297,NOT AVAILABLE,39,NON-PROFIT,-999,344,NOT AVAILABLE,Y
2001,-9330440.0651,4855593.8285,2004,93,SPRINGFIELD REGIONAL MEDICAL CTR-ER,100 MEDICAL CENTER DR,SPRINGFIELD,OH,45504,NOT AVAILABLE,(937) 523-1000,GENERAL ACUTE CARE,OPEN,-999,CLARK,39023,USA,39.928750064,-83.8167691799999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/05/22 00:00:00,http://www.community-mercy.org/springfield_regional_medical_center.asp,NOT AVAILABLE,NOT AVAILABLE,39,NON-PROFIT,-999,230,NOT AVAILABLE,Y
2002,-9075018.8048,5079002.9313,2005,28044122,HIGHLAND SPRINGS HOSPITAL,4199 MILL POND DRIVE,HIGHLAND HILLS,OH,44122,NOT AVAILABLE,(216) 302-3070,PSYCHIATRIC,OPEN,72,CUYAHOGA,39035,USA,41.450390944,-81.52228096,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2016/09/20 00:00:00,http://www.highlandspringshealth.com/,1520,NOT AVAILABLE,39,PROPRIETARY,-999,72,NOT AVAILABLE,N
2003,-9077968.3882,5101083.8045,2006,4644119,EUCLID HOSPITAL,18901 LAKE SHORE BOULEVARD,EUCLID,OH,44119,NOT AVAILABLE,(216) 531-9000,GENERAL ACUTE CARE,OPEN,371,CUYAHOGA,39035,USA,41.5988940500001,-81.5487775189999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.euclidhospital.org,1133,NOT AVAILABLE,39,NON-PROFIT,-999,371,NOT AVAILABLE,Y
2004,-9434983.2291,5056957.4588,2007,5943526,COMMUNITY MEMORIAL HOSPITAL,208 N COLUMBUS ST,HICKSVILLE,OH,43526,NOT AVAILABLE,(419) 542-6692,CRITICAL ACCESS,OPEN,30,DEFIANCE,39039,USA,41.3017860250001,-84.755896401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/01/31 00:00:00,http://www.cmhosp.com,1161,NOT AVAILABLE,39,GOVERNMENT - DISTRICT/AUTHORITY,-999,30,NOT AVAILABLE,Y
2005,-9216162.878,4878510.3716,2008,14743054,MT CARMEL NEW ALBANY SURGICAL HOSPITAL,7333 SMITH'S MILL ROAD,NEW ALBANY,OH,43054,NOT AVAILABLE,(614) 775-6600,SPECIAL,OPEN,60,FRANKLIN,39049,USA,40.0864324720001,-82.790199742,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/01/31 00:00:00,http://www.mountcarmelhealth.com,1451,NOT AVAILABLE,39,NON-PROFIT,-999,60,NOT AVAILABLE,N
2006,-9233584.953,4882640.1846,2009,12043081,MOUNT CARMEL ST ANN'S HOSPITAL,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,NOT AVAILABLE,(614) 546-4533,GENERAL ACUTE CARE,OPEN,392,FRANKLIN,39049,USA,40.114809833,-82.946704905,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/13 00:00:00,http://www.mountcarmelhealth.com,1606,NOT AVAILABLE,39,NON-PROFIT,-999,392,NOT AVAILABLE,Y
2026,-9061855.1226,4982334.6183,2029,129744710,ACUTE CARE SPECIALTY HOSPITAL - AULTMAN,2000 SIXTH STREET,CANTON,OH,44710,NOT AVAILABLE,(330) 363-4000,LONG TERM CARE,OPEN,30,STARK,39151,USA,40.7962482340001,-81.404029591,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/12 00:00:00,https://aultman.org/home/services/medical-services/acute-care/#/,1454,NOT AVAILABLE,39,NON-PROFIT,-999,30,NOT AVAILABLE,Y
2074,-9389676.9235,4733952.729,2077,14945255,MERCY HOSPITAL ANDERSON,7500 STATE ROAD,CINCINNATI,OH,45255,NOT AVAILABLE,(513) 624-4500,GENERAL ACUTE CARE,OPEN,226,HAMILTON,39061,USA,39.085685509,-84.348902933,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.e-mercy.com,1193,NOT AVAILABLE,39,NON-PROFIT,-999,226,NOT AVAILABLE,Y
2091,-9239983.7753,4738349.2292,2094,145690,PIKE COMMUNITY HOSPITAL,100 DAWN LANE,WAVERLY,OH,45690,NOT AVAILABLE,(740) 947-2186,CRITICAL ACCESS,OPEN,25,PIKE,39131,USA,39.116334582,-83.004186504,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.pikecommunityhospital.org,1299,ADENA PIKE MEDICAL CENTER,39,NON-PROFIT,-999,25,NOT AVAILABLE,Y
2116,-9417107.1078,5099779.7966,2119,122343543,COMMUNITY HOSPITALS AND WELLNESS CENTERS MONTPELIER,909 EAST SNYDER AVENUE,MONTPELIER,OH,43543,NOT AVAILABLE,(419) 636-1131,CRITICAL ACCESS,OPEN,25,WILLIAMS,39171,USA,41.590133522,-84.5953124709999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,https://www.chwchospital.org/montpelier-hospital/,1294,NOT AVAILABLE,39,NON-PROFIT,-999,25,NOT AVAILABLE,Y
2147,-9373018.5368,4829247.3822,2150,17345408,MEDICAL CENTER AT ELIZABETH PLACE,ONE ELIZABETH PLACE,DAYTON,OH,45408,NOT AVAILABLE,(937) 223-6237,GENERAL ACUTE CARE,CLOSED,26,MONTGOMERY,39113,USA,39.7470176030001,-84.199258099,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2018/08/10 00:00:00,IMAGERY,2014/01/31 00:00:00,http://www.mcep.us,1467,NOT AVAILABLE,39,PROPRIETARY,-999,26,NOT AVAILABLE,N
2154,-9076033.5723,5023871.6519,2157,10244307,AKRON GENERAL MEDICAL CENTER,1 AKRON GENERAL AVENUE,AKRON,OH,44307,NOT AVAILABLE,(330) 344-6000,GENERAL ACUTE CARE,OPEN,532,SUMMIT,39153,USA,41.0781231720001,-81.5313967719999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.akrongeneral.org,1276,NOT AVAILABLE,39,NON-PROFIT,-999,532,LEVEL I,Y
2554,-9241380.1766,4865300.317,2557,127543210,OSU JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,300 WEST TENTH AVENUE,COLUMBUS,OH,43210,NOT AVAILABLE,(614) 293-3121,GENERAL ACUTE CARE,OPEN,306,FRANKLIN,39049,USA,39.995582196,-83.01673059,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,https://cancer.osu.edu,1818,NOT AVAILABLE,39,GOVERNMENT - STATE,-999,306,NOT AVAILABLE,Y
2580,-9404398.45,4752176.3161,2583,122645216,DRAKE CENTER INC,151 WEST GALBRAITH ROAD,CINCINNATI,OH,45216,NOT AVAILABLE,(513) 418-2624,LONG TERM CARE,OPEN,316,HAMILTON,39061,USA,39.212639698,-84.481148656,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://uchealth.com/danieldrakecenter/,1409,"DRAKE CENTER FOR POST-ACUTE CARE, LLC",39,NON-PROFIT,-999,316,NOT AVAILABLE,N
2581,-9391916.1316,4743087.0237,2584,17945227,MERCY ST THERESA CENTER,7010 ROWAN HILL DR,CINCINNATI,OH,45227,NOT AVAILABLE,(513) 527-7475,GENERAL ACUTE CARE,CLOSED,-999,HAMILTON,39061,USA,39.149347983,-84.369018082,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2012/07/23 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.e-mercy.com/,NOT AVAILABLE,NOT AVAILABLE,39,NON-PROFIT,-999,-999,NOT AVAILABLE,N
2582,-9282679.8577,4771738.9492,2585,12645123,ADENA GREENFIELD MEDICAL CENTER,550 MIRABEAU STREET,GREENFIELD,OH,45123,NOT AVAILABLE,(937) 981-9400,CRITICAL ACCESS,OPEN,25,HIGHLAND,39071,USA,39.3486673300001,-83.3877319379999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.adena.org/locations/detail.dt/adena-greenfield-medical-center,1200,NOT AVAILABLE,39,NON-PROFIT,-999,25,NOT AVAILABLE,N
2583,-9119282.3031,4948403.3074,2586,17244654,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,OH,44654,NOT AVAILABLE,(330) 674-1015,GENERAL ACUTE CARE,OPEN,69,HOLMES,39075,USA,40.5650945400001,-81.919906731,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/01/31 00:00:00,http://www.pomerenehospital.org,1202,NOT AVAILABLE,39,GOVERNMENT - LOCAL,-999,69,NOT AVAILABLE,N
2584,-9178362.7291,4872963.8685,2587,2543055,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,OH,43055,NOT AVAILABLE,(740) 348-4000,GENERAL ACUTE CARE,OPEN,213,LICKING,39089,USA,40.0483019270001,-82.450635227,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.lmhealth.org,1213,NOT AVAILABLE,39,NON-PROFIT,-999,213,NOT AVAILABLE,Y
2585,-9323623.0913,4919789.2974,2588,5843311,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,NOT AVAILABLE,(937) 592-4015,GENERAL ACUTE CARE,OPEN,115,LOGAN,39091,USA,40.369541773,-83.755531263,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.maryrutan.org,1214,NOT AVAILABLE,39,NON-PROFIT,-999,115,NOT AVAILABLE,N
2586,-9153213.1779,5055961.5514,2589,5544074,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,44074,NOT AVAILABLE,(440) 775-1211,CRITICAL ACCESS,OPEN,25,LORAIN,39093,USA,41.295064762,-82.224712965,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.mercyonline.org/mercy_allen_hospital.aspx,1219,ALLEN COMMUNITY HOSPITAL,39,NON-PROFIT,-999,25,NOT AVAILABLE,Y
2587,-8978811.7617,5032275.3218,2590,11844501,NORTHSIDE MEDICAL CENTER,500 GYPSY LANE,YOUNGSTOWN,OH,44501,NOT AVAILABLE,(330) 884-3090,GENERAL ACUTE CARE,OPEN,398,MAHONING,39099,USA,41.135005074,-80.658038388,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/04 00:00:00,http://www.northsidemedicalcenter.net,1231,NOT AVAILABLE,39,PROPRIETARY,-999,398,NOT AVAILABLE,Y
2603,-9373100.3142,4829424.8845,2606,130345408,HEALTHSOUTH REHABILITATION HOSPITAL DAYTON,ONE ELIZABETH PLACE,DAYTON,OH,45417,NOT AVAILABLE,(937) 424-8200,REHABILITATION,OPEN,50,MONTGOMERY,39113,USA,39.748243587,-84.199992718,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/12 00:00:00,http://www.healthsouthdayton.com/,1461,RELIANT REHABILITATION,39,PROPRIETARY,-999,50,NOT AVAILABLE,N
2607,-9374326.8334,4818883.1805,2610,29745439,KETTERING YOUTH SERVICES,5350 LAMME ROAD,DAYTON,OH,45439,NOT AVAILABLE,(937) 534-4600,PSYCHIATRIC,OPEN,60,MONTGOMERY,39113,USA,39.6753956810001,-84.211010728,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2016/09/21 00:00:00,http://ketteringhealth.org/mentalhealth/,1525,NOT AVAILABLE,39,NON-PROFIT,-999,60,NOT AVAILABLE,N
2612,-9060836.0897,4984674.3545,2615,2444708,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,CANTON,OH,44708,NOT AVAILABLE,(330) 489-1000,GENERAL ACUTE CARE,OPEN,441,STARK,39151,USA,40.812157906,-81.3948754629999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.cantonmercy.org,1271,NOT AVAILABLE,39,NON-PROFIT,-999,441,LEVEL II,Y
2707,-9417749.8782,5032185.8626,2710,945879,PAULDING COUNTY HOSPITAL,1035 WEST WAYNE ST.,PAULDING,OH,45879,NOT AVAILABLE,(419) 399-4080,CRITICAL ACCESS,OPEN,25,PAULDING,39125,USA,41.134399811,-84.6010865759999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/03 00:00:00,http://www.pauldingcountyhospital.com,1253,NOT AVAILABLE,39,GOVERNMENT - LOCAL,-999,25,NOT AVAILABLE,Y
2728,-9270682.3952,4988814.3202,2731,16443351,WYANDOT MEMORIAL HOSPITAL,885 NORTH SANDUSKY AVENUE,UPPER SANDUSKY,OH,43351,NOT AVAILABLE,(419) 294-4991,CRITICAL ACCESS,OPEN,31,WYANDOT,39175,USA,40.8402993820001,-83.279956898,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/04 00:00:00,http://www.wyandotmemorial.org,1296,NOT AVAILABLE,39,GOVERNMENT - DISTRICT/AUTHORITY,-999,31,NOT AVAILABLE,Y
2779,-9199527.3495,4726300.2815,2782,11745640,HOLZER MEDICAL CENTER JACKSON,500 BURLINGTON ROAD,JACKSON,OH,45640,NOT AVAILABLE,(740) 395-8500,CRITICAL ACCESS,OPEN,24,JACKSON,39079,USA,39.0323066600001,-82.6407602469999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.holzer.org,1438,NOT AVAILABLE,39,NON-PROFIT,-999,24,NOT AVAILABLE,Y
2781,-9014352.8454,4903420.8829,2784,17143907,HARRISON COMMUNITY HOSPITAL,951 EAST MARKET STREET,CADIZ,OH,43907,NOT AVAILABLE,(740) 942-4631,CRITICAL ACCESS,OPEN,25,HARRISON,39067,USA,40.2574214700001,-80.9773093749999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.harrisoncommunity.com,1022,NOT AVAILABLE,39,NON-PROFIT,-999,25,NOT AVAILABLE,Y
